,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
0,Single family residence,Built in 2018,Natural gas,Central air,2 Attached garage spaces,"6,259 sqft",$266 price/sqft,3% buyers agency fee,247509225
1,Single family residence,Built in 1959,Forced air,"Ceiling fan(s), central air",1 Attached garage space,"7,998 sqft",$263 price/sqft,3% buyers agency fee,13602165
2,Single family residence,Built in 1968,Forced air,"Ceiling fan(s), other",2 Garage spaces,1.40 Acres,$464 price/sqft,2.5% buyers agency fee,13535937
3,Single family residence,Built in 1983,"Forced air, natural gas",Evaporative cooling,2 Attached garage spaces,"10,454 sqft",$176 price/sqft,2.8% buyers agency fee,13097640
4,Single family residence,Built in 1984,Forced air,Central air,2 Attached garage spaces,"9,444 sqft",$214 price/sqft,2.5% buyers agency fee,13561330
5,Single family residence,Built in 1968,Forced air,Central air,1 Attached garage space,0.27 Acres,$242 price/sqft,2.8% buyers agency fee,12967801
6,Single family residence,Built in 1980,"Forced air, natural gas",Central air,2 Attached garage spaces,"7,405 sqft",$153 price/sqft,2.8% buyers agency fee,13040426
7,Single family residence,Built in 1955,Forced air,Evaporative cooling,1 Carport space,"6,600 sqft",$250 price/sqft,2.8% buyers agency fee,13383661
8,Single family residence,Built in 1946,Forced air,Central air,3 Garage spaces,"6,250 sqft",$382 price/sqft,2.8% buyers agency fee,13342434
9,Single family residence,Built in 2001,Forced air,Ceiling fan(s),2 Attached garage spaces,897.34 Sqft,$163 price/sqft,3% buyers agency fee,2062540395
10,Single family residence,Built in 2019,Forced air,"Ceiling fan(s), central air",2 Attached garage spaces,"4,000 sqft",$166 price/sqft,3% buyers agency fee,2082166256
11,Condominium,Built in 1981,Forced air,Central air,1 Parking space,,$253 price/sqft,2.8% buyers agency fee,13054312
12,Single family residence,Built in 1891,"Forced air, natural gas",Central air,2 Garage spaces,"6,650 sqft",$420 price/sqft,2.80% buyers agency fee,13321721
13,"Residential-detached, residential",Built in 1966,Forced air,No data,1 Attached garage space,0.32 Acres,$159 price/sqft,3.00% buyers agency fee,13926414
14,Single family residence,Built in 1980,Baseboard,None,2 Attached garage spaces,"7,318 sqft",$162 price/sqft,2.5% buyers agency fee,13070129
15,Single family residence,Built in 2006,Forced air,Central air,2 Carport spaces,"3,049 sqft",$285 price/sqft,2.8% buyers agency fee,72293761
16,Single family residence,Built in 1998,Forced air,Ceiling fan(s),1 Garage space,5.34 Acres,$210 price/sqft,3% buyers agency fee,13674048
17,Townhouse,Built in 2002,No data,No data,1 Attached garage space,522.72 Sqft,$285 price/sqft,,61264728
18,Single family residence,Built in 1955,No data,No data,"Rv access/parking, no garage","9,016 sqft",$177 price/sqft,2.75% buyers agency fee,14007383
19,Condominium,Built in 2002,Forced air,Central air,1 Carport space,,$336 price/sqft,2.8% buyers agency fee,61207983
20,Single family residence,Built in 1948,Forced air,Central air,1 Attached garage space,"6,250 sqft",$515 price/sqft,2.8% buyers agency fee,13360081
21,Single family residence,Built in 1971,Forced air,"Attic fan, central air",2 Attached garage spaces,"9,801 sqft",$163 price/sqft,3% buyers agency fee,13587738
22,"Residential-detached, residential",Built in 1985,Forced air,Central air,2 Attached garage spaces,"6,969 sqft",$283 price/sqft,2.80% buyers agency fee,13859397
23,Stick built,Built in 2022,No data,Ceiling fan(s),2 Attached garage spaces,1 Acres,$318 price/sqft,,307625540
24,Single family residence,Built in 1994,Forced air,Central air,5 Attached garage spaces,0.44 Acres,$231 price/sqft,2.8% buyers agency fee,13621169
25,Single family residence,Built in 2016,Forced air,Air conditioning-room,3 Attached garage spaces,"8,886 sqft",$168 price/sqft,2.8% buyers agency fee,123457010
26,Townhouse,Built in 2015,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"3,430 sqft",$201 price/sqft,3% buyers agency fee,181568582
27,Single family residence,Built in 1979,"Forced air, natural gas",None,2 Attached garage spaces,"8,907 sqft",$319 price/sqft,2.5% buyers agency fee,13833169
28,Single family residence,Built in 1973,Forced air,Central air,2 Attached garage spaces,"7,841 sqft",$160 price/sqft,2.8% buyers agency fee,13040396
29,Single family residence,Built in 1950,Baseboard,None,2 Parking spaces,3.50 Acres,$291 price/sqft,2.5% buyers agency fee,13268185
30,"Residential-detached, residential",Built in 1992,"Forced air, radiator, 2 or more heat sources",Central air,3 Attached garage spaces,4.37 Acres,$304 price/sqft,2.80% buyers agency fee,13240750
31,Single family residence,Built in 1987,"Propane, forced air",No data,3 Garage spaces,2.27 Acres,$330 price/sqft,,2060711663
32,Manufactured home,Built in 1999,Forced air,Air conditioning-room,2 Parking spaces,,$216 price/sqft,2.5% buyers agency fee,14093726
33,Single family residence,Built in 1994,Forced air,"Ceiling fan(s), central air",3 Attached garage spaces,0.37 Acres,$161 price/sqft,3% buyers agency fee,13571913
34,Stick built,Built in 2017,No data,"Refrigerated air, ceiling fan(s)",2 Attached garage spaces,"4,356 sqft",$419 price/sqft,,247251009
35,"Residential-detached, residential",Built in 2005,Forced air,Central air,2 Attached garage spaces,0.26 Acres,$249 price/sqft,2.50% buyers agency fee,68058719
36,Single family residence,Built in 2005,Forced air,"Ceiling fan(s), central air",6 Garage spaces,5 Acres,$143 price/sqft,2.5% buyers agency fee,13530558
37,Single family residence,Built in 2005,"Forced air, natural gas",Central air,3 Attached garage spaces,"8,712 sqft",$173 price/sqft,2.8% buyers agency fee,82024405
38,Single family residence,Built in 1979,"Forced air, natural gas",None,No data,30 Acres,$405 price/sqft,3% buyers agency fee,13478548
39,Single family residence,Built in 2004,Forced air,Central air,3 Attached garage spaces,0.26 Acres,$196 price/sqft,2.8% buyers agency fee,58888250
40,Condominium,Built in 2000,Forced air,Central air,2 Garage spaces,,$303 price/sqft,2.5% buyers agency fee,51407506
41,Single family residence,Built in 1998,Forced air,"Ceiling fan(s), central air",9 Attached garage spaces,5 Acres,$231 price/sqft,3% buyers agency fee,13554128
42,Townhouse,Built in 1978,"Forced air, natural gas",None,1 Garage space,"1,742 sqft",$514 price/sqft,2.50% buyers agency fee,13508794
43,"Residential-detached, residential",Built in 1964,Forced air,Ceiling fan(s),1 Attached garage space,"6,969 sqft",$314 price/sqft,2.80% buyers agency fee,14058545
44,Residential,Built in 1959,Forced air gas,Central air,2 Attached garage spaces,"10,715 sqft",$186 price/sqft,,218698447
45,"Residential-detached, residential",Built in 1993,Forced air,Central air,3 Attached garage spaces,"9,583 sqft",$191 price/sqft,3.00% buyers agency fee,13892679
46,"Residential-detached, residential",Built in 2017,"Forced air, humidity control",Central air,3 Attached garage spaces,"7,840 sqft",$208 price/sqft,2.50% buyers agency fee,246632964
47,Residential,Built in 1954,Forced air gas,Central air,1 Garage space,0.27 Acres,$227 price/sqft,,218693855
48,Single family residence,Built in 1971,Forced air,"Central air, none",1 Attached garage space,"7,941 sqft",$289 price/sqft,2.5% buyers agency fee,13704458
49,Townhouse,Built in 1973,Forced air,Central air,2 Attached garage spaces,No data,$299 price/sqft,2.8% buyers agency fee,13000843
50,Single family residence,Built in 2000,Propane,Central air,2 Garage spaces,4.76 Acres,$227 price/sqft,2.8% buyers agency fee,13530052
51,Single family residence,Built in 1972,Forced air,Central air,2 Attached garage spaces,"8,274 sqft",$232 price/sqft,2.8% buyers agency fee,12979931
52,Single family residence,Built in 1966,Hot water,Attic fan,2 Attached garage spaces,"9,644 sqft",$227 price/sqft,2.8% buyers agency fee,13789376
53,Single family residence,Built in 2004,Forced air,"Ceiling fan(s), central air",2 Attached garage spaces,"7,163 sqft",$315 price/sqft,3% buyers agency fee,64459430
54,"Residential-detached, residential",Built in 2021,"Forced air, hot water","Central air, ceiling fan(s)",2 Attached garage spaces,"5,662 sqft",$190 price/sqft,3.00% buyers agency fee,338265763
55,Single family residence,Built in 1997,No data,No data,2 Attached garage spaces,"5,619 sqft",$203 price/sqft,2.5% buyers agency fee,14041793
56,Manufactured home,Built in 1992,Forced air,Other,3 Parking spaces,,$131 price/sqft,2.80% buyers agency fee,2061585375
57,Single family residence,Built in 1987,"Forced air, natural gas",None,2 Attached garage spaces,"5,271 sqft",$213 price/sqft,2.5% buyers agency fee,13467829
58,Single family residence,Built in 2005,Forced air,Central air,3 Attached garage spaces,"9,583 sqft",$200 price/sqft,2.5% buyers agency fee,67450235
59,Single family residence,Built in 1997,"Forced air, solar",Attic fan,3 Attached garage spaces,"6,534 sqft",$174 price/sqft,3% buyers agency fee,13573798
60,Condominium,Built in 1974,"Forced air, natural gas","Ceiling fan(s), central air",1 Garage space,,$163 price/sqft,3% buyers agency fee,13594599
61,Single family residence,Built in 2000,Forced air,Central air,3 Attached garage spaces,"6,185 sqft",$207 price/sqft,2.8% buyers agency fee,13447986
62,Single family residence,Built in 1993,Forced air,Central air,2 Attached garage spaces,"6,011 sqft",$243 price/sqft,2.8% buyers agency fee,13494766
63,Townhouse,Built in 2004,"Forced air, natural gas",Central air,1 Garage space,"1,017 sqft",$229 price/sqft,3% buyers agency fee,67151250
64,Single family residence,Built in 1975,"Baseboard, hot water, natural gas",Evaporative cooling,6 Attached garage spaces,3 Acres,$398 price/sqft,,13976821
65,Single family residence,Built in 1935,"Forced air, natural gas",Central air,2 Garage spaces,"5,501 sqft",$158 price/sqft,2.5% buyers agency fee,14038455
66,Stick built,Built in 1901,No data,No data,No data,"2,178 sqft",$268 price/sqft,,194383494
67,Single family residence,Built in 1963,Wood stove,None,10 Parking spaces,1.02 Acres,$332 price/sqft,2.5% buyers agency fee,13982934
68,Single family residence,Built in 2018,Forced air,Central air,4 Attached garage spaces,2.84 Acres,$198 price/sqft,2.8% buyers agency fee,250246078
69,Single family residence,Built in 1980,"Baseboard, electric, solar",Central air,2 Attached garage spaces,"5,662 sqft",$190 price/sqft,2.8% buyers agency fee,13098264
70,Multi family,Built in 1997,"Forced air, natural gas",Central air,2 Attached garage spaces,"4,065 sqft",$245 price/sqft,2.8% buyers agency fee,12966792
71,Stick built,Built in 2000,No data,"Evaporative cooling, ceiling fan(s)",2 Attached garage spaces,"10,018 sqft",$184 price/sqft,,111198447
72,"Residential-detached, residential, manufactured home",Built in 1972,Forced air,Central air,2 Garage spaces,,$256 price/sqft,3.00% buyers agency fee,14058474
73,Single family residence,Built in 1985,"Forced air, wood stove","Central air, other",2 Attached garage spaces,"4,033 sqft",$360 price/sqft,2.8% buyers agency fee,13236999
74,Single family residence,Built in 1986,Forced air,Central air,2 Attached garage spaces,"5,915 sqft",$242 price/sqft,2.5% buyers agency fee,13553561
75,Single family residence,Built in 1925,Wood,None,2 Parking spaces,0.77 Acres,$657 price/sqft,2.8% buyers agency fee,13845583
76,Single family residence,Built in 1963,Baseboard,None,3 Attached garage spaces,1.47 Acres,$327 price/sqft,2.8% buyers agency fee,13845373
77,Single family residence,Built in 1969,"Baseboard, wood",None,"No garage, gravel driveway",5.40 Acres,$174 price/sqft,2.8% buyers agency fee,13488808
78,Single family residence,Built in 1997,Electric,None,2 Attached garage spaces,1 Acres,$335 price/sqft,2.8% buyers agency fee,13268559
79,Manufactured home,Built in 1970,Hot water,Other,2 Carport spaces,,$119 price/sqft,2.8% buyers agency fee,13262506
80,Single family residence,Built in 2004,Forced air,No data,Parking pad,"5,227 sqft",$464 price/sqft,,67827360
81,Residential,Built in 1998,Forced air gas,Evaporative cooling,2 Attached garage spaces,0.25 Acres,$205 price/sqft,,14021106
82,Single family residence,Built in 1986,"Forced air, natural gas, wood",Ceiling fan(s),2 Attached garage spaces,0.25 Acres,$187 price/sqft,1.5% buyers agency fee,13630121
83,"Attached dwelling, townhouse",Built in 2023,Forced air,Central air,2 Attached garage spaces,"1,306 sqft",$271 price/sqft,2.00% buyers agency fee,338122150
84,Condominium,Built in 1974,Baseboard,No data,"Underground, unassigned",,$771 price/sqft,,194071738
85,Townhouse,Built in 1973,Forced air,Central air,2 Parking spaces,No data,$265 price/sqft,2.5% buyers agency fee,13411094
86,Single family residence,Built in 2022,No data,No data,2 Attached garage spaces,1.06 Acres,$234 price/sqft,2.5% buyers agency fee,98325399
87,Stick built,Built in 1977,No data,"Window unit(s), ceiling fan(s)",2 Garage spaces,3 Acres,$297 price/sqft,,117919556
88,Townhouse,Built in 1911,Hot water,None,2 Garage spaces,"2,340 sqft",$431 price/sqft,2.5% buyers agency fee,13334224
89,Single family residence,Built in 1900,Forced air,Central air,1 Garage space,"3,910 sqft",$467 price/sqft,2.8% buyers agency fee,13326390
90,Stick built,Built in 2003,No data,No data,No data,36 Acres,$536 price/sqft,,2097987741
91,Residential,Built in 1984,"Wood, other-see remarks",None,No garage,15.79 Acres,$387 price/sqft,,194792645
92,"Attached dwelling, single family residence, townhouse",Built in 1997,Forced air,Central air,2 Attached garage spaces,"3,484 sqft",$217 price/sqft,3.00% buyers agency fee,13869074
93,Single family residence,Built in 1903,Forced air,Central air,3 Garage spaces,"4,687 sqft",$393 price/sqft,2.8% buyers agency fee,13345470
94,Single family residence,Built in 1965,Forced air,Central air,1 Attached garage space,"6,969 sqft",$270 price/sqft,2.8% buyers agency fee,12981284
95,Single family residence,Built in 1958,Forced air,Evaporative cooling,1 Attached garage space,"6,708 sqft",$239 price/sqft,2.8% buyers agency fee,13151652
96,Townhouse,Built in 1982,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"1,746 sqft",$255 price/sqft,3.0% buyers agency fee,13578162
97,Townhouse,Built in 2006,No data,Central air,2 Attached garage spaces,435.60 Sqft,$392 price/sqft,,72304384
98,Single family residence,Built in 2013,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"6,834 sqft",$145 price/sqft,2.5% buyers agency fee,121868046
99,Condominium,Built in 1973,Baseboard,Air conditioning-room,1 Carport space,,$200 price/sqft,2.8% buyers agency fee,13058190
100,"Residential-detached, residential",Built in 1920,Forced air,Room air conditioner,3 Garage spaces,"9,147 sqft",$285 price/sqft,2.80% buyers agency fee,13142982
101,Single family residence,Built in 1900,Baseboard,None,No data,"1,562 sqft",$533 price/sqft,2.8% buyers agency fee,245913032
102,Single family residence,Built in 2000,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"3,978 sqft",$179 price/sqft,3% buyers agency fee,13541637
103,Modular,Built in 2000,No data,No data,2 Garage spaces,0.42 Acres,$201 price/sqft,,115560815
104,Single family residence,Built in 1910,"Forced air, propane","Ceiling fan(s), wall unit(s)",2 Garage spaces,0.45 Acres,$133 price/sqft,3% buyers agency fee,13530538
105,Single family residence,Built in 1900,"Forced air, hot water, natural gas, pellet stove",Central air,1 Garage space,0.31 Acres,$146 price/sqft,2.8% buyers agency fee,194091085
106,Single family residence,Built in 1972,Forced air,Central air,2 Attached garage spaces,"8,910 sqft",$248 price/sqft,2.8% buyers agency fee,13428621
107,Single family residence,Built in 1971,Forced air,Central air,2 Attached garage spaces,"9,583 sqft",$250 price/sqft,2.8% buyers agency fee,13836903
108,Single family residence,Built in 1982,"Forced air, natural gas",Central air,2 Attached garage spaces,"9,104 sqft",$184 price/sqft,2.8% buyers agency fee,13116479
109,Single family residence,Built in 1900,Forced air,Other,No data,"6,098 sqft",$139 price/sqft,2.50% buyers agency fee,62718278
110,Single family residence,Built in 2022,"Forced air, natural gas",Central air,3 Attached garage spaces,"6,600 sqft",$233 price/sqft,3% buyers agency fee,337041378
111,Condominium,Built in 1964,Baseboard,None,1 Carport space,,$310 price/sqft,2.8% buyers agency fee,2060666732
112,Townhouse,Built in 2001,Forced air,Central air,1 Parking space,"2,613 sqft",$295 price/sqft,2.5% buyers agency fee,58651411
113,Condominium,Built in 1975,"Forced air, natural gas","Ceiling fan(s), central air",1 Garage space,,$203 price/sqft,3.0% buyers agency fee,13670966
114,Type:,Year built:,Heating:,Cooling:,Parking:,Lot:,Price/sqft:,Buyers Agency Fee:,109720955
115,Single family residence,Built in 1994,"Forced air, natural gas, wood stove",None,2 Attached garage spaces,1 Acres,$293 price/sqft,2.5% buyers agency fee,13983551
116,Single family residence,Built in 1953,Forced air,Central air,2 Garage spaces,"7,971 sqft",$195 price/sqft,2.5% buyers agency fee,13032758
117,Stick built,Built in 1890,No data,Window unit(s),No data,0.40 Acres,$230 price/sqft,,2060711625
118,Condominium,Built in 2017,Forced air,Central air,1 Parking space,,"$1,365 price/sqft",2.8% buyers agency fee,2082766662
119,"Residential-detached, residential",Built in 1971,"Forced air, hot water","Central air, room air conditioner",2 Attached garage spaces,0.56 Acres,$152 price/sqft,3.00% buyers agency fee,157441791
120,Single family residence,Built in 1995,Baseboard,Evaporative cooling,2 Attached garage spaces,0.29 Acres,$230 price/sqft,,13953097
121,Single family residence,Built in 1954,Forced air,Central air,1 Attached garage space,"6,186 sqft",$283 price/sqft,2.8% buyers agency fee,13147996
122,Single family residence,Built in 1955,"Forced air, natural gas","Attic fan, central air",1 Attached garage space,"7,144 sqft",$504 price/sqft,2.8% buyers agency fee,13150438
123,Manufactured home,Built in 1972,Forced air,"Air conditioning-room, evaporative cooling",1 Garage space,,$314 price/sqft,2.8% buyers agency fee,14094414
124,Single family residence,Built in 1948,"Forced air, gas",Evaporative cooling,Garage,"7,405 sqft",$138 price/sqft,,104597509
125,Condominium,Built in 1980,Baseboard,No data,"Assigned, one space",,$575 price/sqft,,194086035
126,Single family residence,Built in 1909,Forced air,Central air,2 Garage spaces,"8,751 sqft",$236 price/sqft,2.0% buyers agency fee,13671198
127,Single family residence,Built in 1958,Forced air,Evaporative cooling,2 Attached garage spaces,0.87 Acres,$99 price/sqft,,13972194
128,Stick built,Built in 1921,No data,No data,1 Garage space,0.25 Acres,$140 price/sqft,,115561167
129,Single family residence,Built in 1945,"Forced air, gas, wood stove",Evaporative cooling,Rv access/parking,"8,276 sqft",$338 price/sqft,,62912181
130,Single family residence,Built in 1965,"Natural gas, forced air",Central air,1 Garage space,0.38 Acres,$109 price/sqft,,81505711
131,"Residential, single family residence",Built in 2010,Forced air,Central air,3 Attached garage spaces,0.33 Acres,$132 price/sqft,,139016454
132,Single family residence,Built in 1986,Electric,Central air,2 Attached garage spaces,"8,276 sqft",$123 price/sqft,,77140398
133,"Residential, single family residence",Built in 2000,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,0.31 Acres,$147 price/sqft,,94401765
134,Single family residence,Built in 1976,"Natural gas, forced air",Central air,2 Attached garage spaces,0.45 Acres,$105 price/sqft,,85534790
135,"Residential, single family residence",Built in 1950,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,0.39 Acres,$106 price/sqft,,1260366
136,Single family residence,Built in 1992,"Natural gas, forced air",Central air,3.5 Attached garage spaces,0.27 Acres,$109 price/sqft,,73285967
137,"Residential, single family residence",Built in 1920,Forced air,Central air,No data,"3,876 sqft",$89 price/sqft,,85698750
138,"Residential, single family residence",Built in 1918,Forced air,Central air,2 Garage spaces,"4,791 sqft",$177 price/sqft,,1106338
139,Single family residence,Built in 1956,"Wood, forced air, propane tank owned",Window unit(s),1 Attached garage space,0.83 Acres,,2.5% buyers agency fee,85595046
140,"Residential, single family residence",Built in 2002,Forced air,Central air,3 Attached garage spaces,0.91 Acres,$115 price/sqft,,1174891
141,"Residential, single family residence",Built in 2003,Forced air,Central air,2 Attached garage spaces,"7,840 sqft",$112 price/sqft,,85464743
142,Single family residence,Built in 1999,"Electric, heat pump, forced air",Central air,1 Garage space,"10,560 sqft",$64 price/sqft,,77123330
143,"Residential, single family residence",Built in 1994,Forced air,Central air,3 Attached garage spaces,1.01 Acres,$138 price/sqft,,1162178
144,"Residential, single family residence",Built in 1984,Forced air,"Central air, ceiling fan(s)",4 Attached garage spaces,1 Acres,$155 price/sqft,,128499312
145,Single family residence,Built in 1890,Forced air,Central air,4 Garage spaces,1.73 Acres,,3% buyers agency fee,77091612
146,Single family residence,Built in 1991,"Natural gas, forced air",Central air,2 Attached garage spaces,0.45 Acres,,3.0% buyers agency fee,138638150
147,"Residential, single family residence",Built in 1966,Forced air,Central air,2 Attached garage spaces,0.55 Acres,$106 price/sqft,,1148557
148,Single family residence,Built in 1973,Natural gas,Central air,2 Attached garage spaces,0.42 Acres,,3% buyers agency fee,50623134
149,Single family residence,Built in 1992,"Natural gas, conventional, forced air, high efficiency furnace",Central air,2 Attached garage spaces,0.34 Acres,,2.5% buyers agency fee,77054500
150,Single family residence,Built in 2001,"Natural gas, forced air",Central air,2 Attached garage spaces,"7,405 sqft",,3% buyers agency fee,50626545
151,Single family residence,Built in 1999,Heat pump,Central air,1 Garage space,1.80 Acres,$114 price/sqft,,85421559
152,"Residential, single family residence",Built in 2000,Forced air,Central air,2 Attached garage spaces,"10,018 sqft",$136 price/sqft,,115580398
153,"Residential, single family residence",Built in 1967,Heat pump,Heat pump,3 Attached garage spaces,0.48 Acres,$128 price/sqft,,102834542
154,"Single family residence, residential",Built in 1920,No data,Central air,2 Attached garage spaces,0.30 Acres,$56 price/sqft,3.5%BA% buyers agency fee,85778950
155,"Residential, single family residence",Built in 1955,Forced air,Central air,2 Attached garage spaces,0.46 Acres,$120 price/sqft,,1263118
156,Single family residence,Built in 1920,"Natural gas, conventional, forced air",Central air,No data,2.50 Acres,,3.0% buyers agency fee,85522127
157,"Residential, single family residence",Built in 2000,Forced air,Central air,2 Attached garage spaces,No data,$155 price/sqft,,85304222
158,"Residential, single family residence",Built in 2002,Forced air,Central air,2 Attached garage spaces,3.87 Acres,$159 price/sqft,,85113844
159,Single family residence,Built in 2020,"Natural gas, forced air",Central air,3 Attached garage spaces,0.35 Acres,$184 price/sqft,,316588360
160,Single family residence,Built in 1900,"Natural gas, forced air",None,No data,"6,098 sqft",,3.0% buyers agency fee,50606493
161,"Residential, single family residence",Built in 2001,Forced air,Central air,3 Attached garage spaces,0.31 Acres,$150 price/sqft,,85612322
162,"Residential, single family residence",Built in 1935,Forced air,Central air,2 Garage spaces,"7,492 sqft",$125 price/sqft,,1249693
163,Single family residence,Built in 1950,Natural gas,Central air,3 Garage spaces,"6,534 sqft",,3% buyers agency fee,94611401
164,Single family residence,Built in 2005,"Natural gas, forced air",Central air,2 Attached garage spaces,0.39 Acres,$149 price/sqft,,81499633
165,Single family residence,Built in 1975,"Natural gas, forced air",Central air,2 Attached garage spaces,0.58 Acres,,3.0% buyers agency fee,77002866
166,"Residential, single family residence",Built in 1960,Forced air,Central air,Open parking,"4,791 sqft",$167 price/sqft,,85616295
167,Single family residence,Built in 1957,"Natural gas, forced air","Central air, ceiling fan(s)",2 Attached garage spaces,"7,069 sqft",,3% buyers agency fee,94423189
168,Single family residence,Built in 1940,"Baseboard, other, space heater","Window unit(s), wall/window unit(s)",2 Garage spaces,0.25 Acres,$96 price/sqft,,85761594
169,"Residential, single family residence",Built in 1988,"Forced air, heat pump",Central air,2 Attached garage spaces,0.25 Acres,$162 price/sqft,,1161640
170,Single family residence,Built in 1905,Natural gas,Central air,No data,"6,534 sqft",,3% buyers agency fee,85375097
171,Single family residence,Built in 2003,"Natural gas, forced air",Central air,3 Attached garage spaces,0.29 Acres,$218 price/sqft,,73309195
172,"Residential, single family residence",Built in 1990,Forced air,Central air,2 Attached garage spaces,0.43 Acres,$189 price/sqft,,73224156
173,Single family residence,Built in 2021,Natural gas,Central air,3 Attached garage spaces,0.42 Acres,,3% buyers agency fee,180465529
174,Single family residence,Built in 1991,"Natural gas, forced air",Central air,2 Attached garage spaces,"7,840 sqft",,2.5 % buyers agency fee,70485208
175,"Residential, single family residence",Built in 1965,Conversion,Central air,2 Attached garage spaces,0.26 Acres,$188 price/sqft,,1309106
176,Single family residence,Built in 1920,"Natural gas, forced air, hot water",Central air,2 Attached garage spaces,2.25 Acres,,3.5% buyers agency fee,2060673959
177,Single family residence,Built in 1900,"Natural gas, forced air",None,2 Attached garage spaces,3.48 Acres,,3.0% buyers agency fee,231344735
178,"Residential, single family residence",Built in 1959,"Forced air, high efficiency (90%+ afue ), wood stove",Central air,4 Attached garage spaces,"10,001 sqft",$160 price/sqft,,85458636
179,Single family residence,Built in 1991,"Natural gas, forced air",Central air,3 Attached garage spaces,2.38 Acres,$104 price/sqft,,89778528
180,"Residential, single family residence",Built in 1973,Forced air,Central air,2 Attached garage spaces,0.61 Acres,$249 price/sqft,,1151090
181,Manufactured home,Built in 1994,"Natural gas, forced air",Window unit(s),No data,,,2.4% buyers agency fee,85561604
182,Single family residence,Built in 1942,"Natural gas, forced air",Central air,2 Garage spaces,"4,680 sqft",$109 price/sqft,,73366083
183,Single family residence,Built in 2022,"Natural gas, forced air",Central air,2 Attached garage spaces,"7,410 sqft",$210 price/sqft,,2060678728
184,"Residential, single family residence",Built in 1951,Forced air,Central air,2 Attached garage spaces,0.36 Acres,$92 price/sqft,,1298611
185,Single family residence,Built in 2004,"Propane, forced air",Central air,3 Attached garage spaces,4.82 Acres,,3% buyers agency fee,65281157
186,Single family residence,Built in 1950,Electric,Central air,No data,"10,454 sqft",,2.5% buyers agency fee,50602192
187,Single family residence,Built in 1900,Forced air,Central air,1 Garage space,0.25 Acres,,3% buyers agency fee,85730207
188,"Residential, single family residence",Built in 1994,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,"5,410 sqft",$193 price/sqft,,1208378
189,Single family residence,Built in 1956,Forced air,Central air,Open parking,"9,147 sqft",,3.0% buyers agency fee,77102320
190,Single family residence,Built in 1978,"Heat pump, radiant",Central air,2 Attached garage spaces,1.32 Acres,$131 price/sqft,,85233767
191,Single family residence,Built in 1962,"Natural gas, forced air","Central air, ceiling fan(s)",Open parking,"9,583 sqft",,3% buyers agency fee,73203008
192,"Residential, single family residence",Built in 1910,Forced air,Central air,2 Garage spaces,"8,712 sqft",$143 price/sqft,,1114365
193,"Residential, single family residence",Built in 1975,Baseboard,"Wall unit(s), window unit(s)",2 Attached garage spaces,0.35 Acres,$140 price/sqft,,85472543
194,Single family residence,Built in 1900,Natural gas,Central air,No data,"3,920 sqft",,3% buyers agency fee,85131112
195,Single family residence,Built in 1914,"Natural gas, forced air",None,No data,"4,356 sqft",,3% buyers agency fee,99220474
196,Single family residence,Built in 1920,"Natural gas, forced air",Central air,3 Garage spaces,0.44 Acres,,2.5% buyers agency fee,50590357
197,Condominium,Built in 1975,Forced air,Central air,1 Attached garage space,,,3% buyers agency fee,50660194
198,Condominium,Built in 1994,"Natural gas, forced air","Central air, hvac (16 seer+)",2 Attached garage spaces,,,3.0% buyers agency fee,85587622
199,Single family residence,Built in 1975,"Natural gas, forced air",Central air,Open parking,10.60 Acres,,2.4% buyers agency fee,2061983838
200,"Residential, single family residence",Built in 1994,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,"6,098 sqft",$156 price/sqft,,1238214
201,"Residential, single family residence",Built in 1951,Forced air,Central air,1 Garage space,"6,952 sqft",$114 price/sqft,,1240751
202,"Residential, single family residence",Built in 1987,Forced air,"Central air, ceiling fan(s)",2 Attached garage spaces,0.57 Acres,$180 price/sqft,,85450291
203,"Residential, single family residence",Built in 2018,Forced air,Central air,3 Attached garage spaces,0.34 Acres,$145 price/sqft,,249701183
204,"Residential, single family residence",Built in 1984,"Forced air, humidity control",Central air,2 Attached garage spaces,0.49 Acres,$190 price/sqft,,73268831
205,Condominium,Built in 2022,Natural gas,Central air,2 Attached garage spaces,,,3.0% buyers agency fee,2060677996
206,"Residential, single family residence",Built in 1900,Forced air,Central air,4 Garage spaces,"10,772 sqft",$79 price/sqft,,85287991
207,Single family residence,Built in 1944,Forced air,Central air,1 Garage space,"7,405 sqft",,3% buyers agency fee,85205718
208,Single family residence,Built in 1959,"Electric, gravity",Central air,2 Garage spaces,2.28 Acres,$78 price/sqft,,94494760
209,"Residential, single family residence",Built in 1900,Forced air,"Central air, ceiling fan(s)",1 Garage space,"4,791 sqft",$112 price/sqft,,1071846
210,"Residential, single family residence",Built in 2012,Forced air,Central air,2 Attached garage spaces,"5,488 sqft",$114 price/sqft,,97859874
